l2_error,loss_boundary,loss_interior,loss,_runtime,_timestamp,_step,step,time
0.00952591199083174,0.00017345146937898463,0.00035281258173541134,0.000526264051114396,13.665783166885376,1714598074.314892,83,2254,9.591129779815674
0.008137364441139373,0.00013503573694727866,0.0003154742237081656,0.0004505099606554443,14.44596815109253,1714598075.095077,84,2479,10.371378660202026
0.007136936206657817,0.00010680804093211781,0.0002686280441647037,0.00037543608509682156,15.31755518913269,1714598075.966664,85,2727,11.242970705032349
0.006335596477171801,8.459835175202173e-05,0.00021696042359944156,0.0003015587753514633,16.31302237510681,1714598076.9621313,86,3000,12.238383531570435
0.005538533340110969,6.421637900555328e-05,0.00017035986960928668,0.00023457624861483996,17.391425848007202,1714598078.0405347,87,3299,13.316758871078491
0.004799509172836383,4.668238642721123e-05,0.00013363444847582146,0.0001803168349030327,18.548446893692017,1714598079.1975558,88,3629,14.473873376846313
0.004304582481155031,3.423087760316171e-05,0.00010616289573358834,0.00014039377333675005,19.8878493309021,1714598080.5369582,89,3992,15.813299179077148
0.00400504363870505,2.6104385549177304e-05,8.397314805484721e-05,0.00011007753360402452,21.298071146011353,1714598081.94718,90,4391,17.223471641540527
0.0036736355352765832,1.979670748226042e-05,6.45906523204212e-05,8.438735980268162e-05,22.956265687942505,1714598083.6053746,91,4831,18.881675481796265
0.0032149114032457844,1.4362422722835017e-05,4.915030251097599e-05,6.3512725233811e-05,24.700651168823242,1714598085.34976,92,5314,20.62599515914917
0.0027211487462272233,1.0367256725151784e-05,3.896138641854292e-05,4.93286431436947e-05,26.612178087234497,1714598087.261287,93,5845,22.537575721740723
0.0023390634219400833,7.945697365348091e-06,3.2532326753297176e-05,4.047802411864527e-05,28.749034643173218,1714598089.3981435,94,6429,24.674448490142822
0.002087695944608842,6.462253712275626e-06,2.8023368791423973e-05,3.44856225036996e-05,31.068932056427002,1714598091.718041,95,7072,26.99426507949829
0.0019240174936566584,5.496293175406252e-06,2.4733035586613156e-05,3.022932876201941e-05,33.62622857093811,1714598094.2753375,96,7779,29.551357984542847
0.0018323564190936188,4.932461343643249e-06,2.21265774832137e-05,2.7059038826856948e-05,36.407429933547974,1714598097.0565388,97,8557,32.332730531692505
0.001792336009304619,4.631060555447258e-06,1.9892883244440726e-05,2.4523943799887983e-05,39.53730607032776,1714598100.186415,98,9413,35.46206021308899
0.0017709600659861007,4.426489685950144e-06,1.7953048828724076e-05,2.237953851467422e-05,43.00712871551514,1714598103.6562376,99,10354,38.93251633644104
0.001744904570423415,4.214286002260407e-06,1.6263885339123794e-05,2.04781713413842e-05,46.66531324386597,1714598107.3144221,100,11389,42.59056067466736
0.001704406419162041,3.95307833728308e-06,1.47681617478512e-05,1.872124008513428e-05,50.66305112838745,1714598111.31216,101,12528,46.588486433029175
0.0016476418905942598,3.638388445511422e-06,1.340888185552429e-05,1.7047270301035713e-05,55.08844757080078,1714598115.7375565,102,13781,51.01370120048523
0.001576154848857806,3.281932212302114e-06,1.2142577508303582e-05,1.5424509720605696e-05,60.01824164390564,1714598120.6673505,103,15159,55.94330930709839
0.0014923313914718766,2.8998566605601127e-06,1.0945607517081523e-05,1.3845464177641637e-05,65.48771905899048,1714598126.136828,104,16675,61.41313147544861
0.0013984544238492766,2.508475534997889e-06,9.816120713618467e-06,1.2324596248616357e-05,71.35519933700562,1714598132.0043082,105,18342,67.2806248664856
0.001296263350599709,2.1223380915938694e-06,8.762614625278143e-06,1.0884952716872012e-05,77.93425965309143,1714598138.5833685,106,20177,73.85955905914307
0.0011875464433878087,1.7556091487837855e-06,7.78984581538082e-06,9.545454964164605e-06,85.10893082618713,1714598145.7580397,107,22194,81.0343029499054
0.001074074564920576,1.4193679425783686e-06,6.878488004538529e-06,8.297855947116898e-06,92.96943283081055,1714598153.6185417,108,24414,88.89474081993103
0.0009588633617957815,1.1230663235204401e-06,6.002187571117199e-06,7.125253894637639e-06,101.67042469978333,1714598162.3195336,109,26855,97.59544157981873
0.0008458552501876725,8.729371994300793e-07,5.157769782430577e-06,6.030706981860656e-06,111.25420355796814,1714598171.9033124,110,29540,107.17960047721863
0.00073908425291566,6.713115229512213e-07,4.37458191438342e-06,5.045893437334642e-06,121.85783839225769,1714598182.5069473,111,32494,117.78323149681091
