time,_timestamp,loss_interior,loss_boundary,_step,step,loss,_runtime,l2_error
860.5275399684906,1715920808.0279925,5.503058227066736e-06,8.74629012629318e-06,118,63322,1.4249348353359917e-05,864.5556175708771,0.0034608697547433127
945.7643399238586,1715920893.2638106,8.41566624512395e-06,7.280211630406887e-06,119,69654,1.569587787553084e-05,949.7914357185364,0.0031419124636979947
1039.447693347931,1715920986.9473038,3.223650428929734e-06,5.336590815312456e-06,120,76620,8.56024124424219e-06,1043.474928855896,0.0027882018231436515
1142.2881863117218,1715921089.787192,2.5110267639302395e-06,4.640235660796475e-06,121,84281,7.151262424726714e-06,1146.3148171901703,0.002675058101219545
1260.865253686905,1715921208.3648298,1.921961258068079e-06,3.906844852636913e-06,122,92710,5.828806110704992e-06,1264.8924548625946,0.0025990495675151278
1384.6951260566711,1715921332.1945164,2.3426078952550257e-06,2.92432229823152e-06,123,101980,5.266930193486546e-06,1388.7221415042877,0.0021502695756426054
1518.6305067539215,1715921466.1311152,1.3455114338137538e-06,2.3677911523738135e-06,124,112178,3.7133025861875673e-06,1522.6587402820587,0.0019141604947591215
1665.0314524173737,1715921612.5310707,1.2129214536919036e-06,1.8788544265441661e-06,125,123396,3.0917758802360697e-06,1669.0586957931519,0.001647320748556221
1826.2788157463074,1715921773.7784576,5.768479754671662e-07,1.4757491670803293e-06,126,135736,2.0525971425474955e-06,1830.306082725525,0.0014339221794755703
2005.317269563675,1715921952.8168094,9.306272565369594e-07,1.1976461274433185e-06,127,149309,2.128273383980278e-06,2009.3444344997406,0.0012729593854775725
2203.05744433403,1715922150.5571127,5.744845692925026e-07,1.2539490916169484e-06,128,164240,1.828433660909451e-06,2207.08473777771,0.001567070340924993
2421.6824581623077,1715922369.182099,5.896513449833676e-07,7.97057142757427e-07,129,180664,1.3867084877407947e-06,2425.709724187851,0.0010390851155709358
2661.897083759308,1715922609.397885,5.241397608464967e-07,7.124804692330044e-07,130,198731,1.236620230079501e-06,2665.9255101680756,0.0010116032130129313
2930.4488446712494,1715922877.948237,5.017036209551976e-07,6.98913432915025e-07,131,218604,1.2006170538702225e-06,2934.4758620262146,0.000991127317468402
3000.0072150230408,1715922947.5058851,2.906776445449334e-06,8.554709845172067e-07,132,223796,3.7622474299665406e-06,3004.03351020813,0.0010328232664253538
