loss_interior,time,_timestamp,step,l2_error,loss_boundary,loss,_runtime,_step
8.24144118660906e-08,77.32205724716187,1714840608.6540415,2479,9.163351750296041e-05,1.4288045320258075e-08,9.670245718634868e-08,81.12641048431396,84
5.701733345692342e-08,84.76159596443176,1714840616.093351,2727,7.249916667323442e-05,7.859198947239661e-09,6.487653240416308e-08,88.56571984291077,85
3.919395551437059e-08,93.06015205383301,1714840624.39295,3000,6.166057649571425e-05,4.606851642290356e-09,4.380080715666095e-08,96.86531901359558,86
2.902224862748532e-08,102.07119154930115,1714840633.4046175,3299,5.203369731813659e-05,3.2008553944358954e-09,3.2223104021921216e-08,105.87698650360107,87
2.1448635228868847e-08,112.04433178901672,1714840643.3770778,3629,4.6505722786501606e-05,2.583262487150318e-09,2.4031897716019165e-08,115.84944677352905,88
1.5855148296059114e-08,123.13898658752441,1714840654.4714172,3992,3.688850174025825e-05,1.6518441540932677e-09,1.750699245015238e-08,126.94378614425659,89
1.1314105693924105e-08,135.35715746879578,1714840666.6896315,4391,2.7122992144229507e-05,9.182162800430088e-10,1.2232321973967114e-08,139.16200041770935,90
7.398173704884321e-09,148.70235896110535,1714840680.0344718,4831,1.8784753011799316e-05,4.960310954294167e-10,7.894204800313737e-09,152.50684070587158,91
4.757090274629767e-09,163.49987840652466,1714840694.832037,5314,1.6453658309423727e-05,3.902653521185504e-10,5.147355626748317e-09,167.30440592765808,92
3.1600184908896908e-09,179.4811978340149,1714840710.8136091,5845,1.4567602009700274e-05,3.1934227547456293e-10,3.4793607663642535e-09,183.28597807884216,93
1.8759349907344903e-09,196.94165635108948,1714840728.2736967,6429,1.3532376807854875e-05,3.2372981770726736e-10,2.1996648084417575e-09,200.74606561660767,94
9.95757052436524e-10,216.4425687789917,1714840747.7747943,7072,1.3051997183667692e-05,2.8805811208829205e-10,1.283815164524816e-09,220.24716329574585,95
6.219153154747918e-10,237.92466592788696,1714840769.2574806,7779,1.0323602268098558e-05,2.0407791927555273e-10,8.259932347503446e-10,241.72984957695007,96
4.1846492864297687e-10,261.7094054222107,1714840793.0415852,8557,8.155775120268659e-06,1.4128117882130908e-10,5.59746107464286e-10,265.51395416259766,97
3.2363740893158904e-10,287.71767568588257,1714840819.049705,9413,6.647959061883147e-06,9.620686196429964e-11,4.198442708958887e-10,291.5220739841461,98
2.8142740127996426e-10,316.23699831962585,1714840847.568961,10354,5.549196283263975e-06,6.817088681233747e-11,3.4959828809230173e-10,320.04132986068726,99
2.461528336286592e-10,347.84093832969666,1714840879.1731453,11389,4.308104334587374e-06,4.491866401408163e-11,2.910714976427408e-10,351.64551424980164,100
2.0993413412282072e-10,382.1833574771881,1714840913.5154064,12528,3.2758633396489276e-06,3.1164947744195e-11,2.410990818670157e-10,385.98777532577515,101
1.8062501449110272e-10,420.1471154689789,1714840951.4791765,13781,2.7600776264867767e-06,2.45569928989904e-11,2.0518200739009311e-10,423.95154547691345,102
1.4919899532568836e-10,462.0695815086365,1714840993.4017327,15159,2.4382381506878385e-06,2.0054323528172356e-11,1.6925331885386073e-10,465.87410163879395,103
1.2319263630341526e-10,508.2910704612732,1714841039.6231887,16675,2.251111417034409e-06,1.6944185532900958e-11,1.4013682183631622e-10,512.0955576896667,104
1.0316009580911209e-10,558.5976777076721,1714841089.9304357,18342,2.1291760249254764e-06,1.4973766352253937e-11,1.1813386216136604e-10,562.4028046131134,105
8.888898349733874e-11,614.6390216350555,1714841145.970998,20177,1.971512041165226e-06,1.2885356527016496e-11,1.0177434002435523e-10,618.4433670043945,106
7.670268789705951e-11,675.6233932971954,1714841206.955429,22194,1.8027606788782495e-06,1.106925826581485e-11,8.777194616287437e-11,679.4277980327606,107
6.532984490355025e-11,742.8542907238007,1714841274.1864038,24414,1.6549458770424288e-06,9.379421788361666e-12,7.470926669191192e-11,746.6587727069855,108
5.539291090192346e-11,817.0809214115143,1714841348.4133713,26855,1.5018870901410712e-06,7.647000042528662e-12,6.303991094445212e-11,820.8857402801514,109
4.624013872619114e-11,897.784581899643,1714841429.1167498,29540,1.1304736606345981e-06,4.533641512886785e-12,5.0773780239077926e-11,901.589118719101,110
3.863922054504954e-11,987.383574962616,1714841518.7161288,32494,8.597483422937969e-07,2.6481514113138115e-12,4.1287371956363355e-11,991.1884977817535,111
3.800262075286909e-11,1000.0253009796143,1714841531.3576515,32909,8.454663000078162e-07,2.525213143252713e-12,4.0527833896121804e-11,1003.8300204277039,112
