_timestamp,loss_interior,time,_step,step,l2_error,loss_boundary,loss,_runtime
1712771445.6773932,1.2804772218294412e-15,873.4659192562103,108,5042,5.92289257379051e-09,6.332555164007972e-17,1.3438027734695209e-15,877.0803372859955
1712771501.0468583,1.1402869594555134e-15,928.8353931903839,109,5366,5.7050558550572955e-09,5.856441296404537e-17,1.1988513724195588e-15,932.4498023986816
1712771560.6160774,1.0183032605067124e-15,988.4045886993408,110,5711,5.478139335622487e-09,5.4105500812361604e-17,1.072408761319074e-15,992.0190215110779
1712771623.849959,9.10746278833306e-16,1051.6374118328094,111,6077,5.190531454776021e-09,4.991907251324193e-17,9.60665351346548e-16,1055.2529029846191
1712771691.1919198,8.122850408781503e-16,1118.9795825481415,112,6467,4.960767979863628e-09,4.626444856261868e-17,8.58549489440769e-16,1122.5948638916016
1712771763.3468585,7.213306662377043e-16,1191.1354942321777,113,6883,4.701919333788573e-09,4.2419449012303574e-17,7.637501152500079e-16,1194.7498025894165
1712771839.2274506,6.399849506469921e-16,1267.0148866176605,114,7325,4.505516815215833e-09,3.9287211537445626e-17,6.792721621844377e-16,1270.6303946971893
1712771919.6054182,5.672745280844682e-16,1347.3929975032806,115,7795,4.3318304021379005e-09,3.66631098187108e-17,6.039376379031791e-16,1351.0083622932434
1712772005.8381097,5.012199414695616e-16,1433.626382112503,116,8296,4.143223084491176e-09,3.439049388898633e-17,5.356104353585479e-16,1437.2410538196564
1712772096.2486792,4.421518337579702e-16,1524.0368616580963,117,8828,3.873628364871453e-09,3.1689127516451466e-17,4.738409612744217e-16,1527.651623249054
1712772194.1562667,3.8906196845631926e-16,1621.9443008899689,118,9395,3.5464572588594573e-09,2.873458449174461e-17,4.1779655294806386e-16,1625.5592107772827
1712772298.203942,3.4075106826157585e-16,1725.992490530014,119,9999,3.3680702838147307e-09,2.6249775259001313e-17,3.6700084352057715e-16,1729.6068861484528
