l2_error,time,_timestamp,loss_boundary,_step,_runtime,loss,step,loss_interior
0.0021200381321325877,824.3927683830261,1714777694.1365476,1.5029645117500684e-06,98,829.5314075946808,5.268257042709636e-06,9413,3.7652925309595676e-06
0.001967150912072128,906.5679521560669,1714777776.3114092,1.276511670559234e-06,99,911.7062692642212,4.575757469586919e-06,10354,3.2992457990276856e-06
0.0017732624988932575,997.9558231830597,1714777867.6991944,1.0948075477710463e-06,100,1003.0940544605255,4.013218694593705e-06,11389,2.918411146822659e-06
0.0016425383554561572,1098.302428483963,1714777968.0456948,8.973221632302109e-07,101,1103.440554857254,3.466771904545939e-06,12528,2.5694497413157284e-06
0.0015400290972152563,1209.1527783870697,1714778078.8959427,7.528607725736971e-07,102,1214.2908027172089,2.976621454861271e-06,13781,2.2237606822875737e-06
0.0014160242179644944,1330.671002626419,1714778200.4142094,6.390856625257999e-07,103,1335.8090693950653,2.563968968902349e-06,15159,1.924883306376549e-06
0.0013351652646031592,1463.8693165779114,1714778333.612612,5.35129929798263e-07,104,1469.007472038269,2.2190446903844195e-06,16675,1.6839147605861564e-06
0.0012615059841517978,1610.2951946258545,1714778480.0385718,4.262402276327883e-07,105,1615.4334318637848,1.8841721156966112e-06,18342,1.457931888063823e-06
0.0012126235753342049,1767.0248935222626,1714778636.7684476,3.6574473952563247e-07,106,1772.1633076667786,1.6341454692527977e-06,20177,1.268400729727165e-06
0.0011576582008208964,1945.064779996872,1714778814.8080335,3.159555714448704e-07,107,1950.2028934955597,1.417613920372613e-06,22194,1.1016583489277428e-06
0.001109914371436815,2140.3723101615906,1714779010.1156638,2.6454925153034703e-07,108,2145.5105237960815,1.204177272206267e-06,24414,9.396280206759198e-07
0.0010639271347070512,2355.848490715027,1714779225.5915637,2.3162905505636033e-07,109,2360.98642373085,1.0417679758253552e-06,26855,8.101389207689948e-07
0.0010116407713090672,2591.8669996261597,1714779461.6105847,2.0587412698936076e-07,110,2597.005444765091,8.846990379355841e-07,29540,6.788249109462233e-07
0.0009557406938605517,2850.8803403377533,1714779720.6242723,1.8123875039741388e-07,111,2856.019132375717,7.647591340365563e-07,32494,5.835203836391424e-07
0.0009323813275999458,3000.096319437027,1714779869.8399503,1.6301344276365652e-07,112,3005.2348103523254,6.983242799558754e-07,34188,5.353108371922189e-07
