_runtime,_timestamp,step,l2_error,_step,time,loss_boundary,loss_interior,loss
151.30863189697266,1714550921.10859,718,1.5791169166323732e-07,71,147.37244272232056,5.881210728314018e-15,6.813037811379799e-13,6.871849918662939e-13
165.81487894058228,1714550935.614837,790,1.5674707776606209e-07,72,161.87882256507874,5.836333170957794e-15,6.520065556651507e-13,6.578428888361084e-13
181.63310289382935,1714550951.433061,869,1.5788438786231815e-07,73,177.69644784927368,5.88167380644075e-15,6.259082985981008e-13,6.317899724045415e-13
199.12508034706116,1714550968.9250383,956,1.566710097561933e-07,74,195.18844437599182,5.782931398990062e-15,6.074676883571854e-13,6.132506197561754e-13
218.4742729663849,1714550988.274231,1052,1.550730827011779e-07,75,214.5381498336792,5.674504528760818e-15,5.956060914236857e-13,6.012805959524465e-13
239.5766246318817,1714551009.3765826,1157,1.5502858407665649e-07,76,235.6403181552887,5.621381871771722e-15,5.893841879363738e-13,5.950055698081455e-13
262.66295075416565,1714551032.4629087,1272,1.5572521000215802e-07,77,258.72632122039795,5.6395321691577284e-15,5.843462188670832e-13,5.899857510362409e-13
288.3613712787628,1714551058.1613293,1400,1.5590800768928624e-07,78,284.4251959323883,5.595625827273157e-15,5.800041294736661e-13,5.855997553009393e-13
316.24992418289185,1714551086.0498822,1539,1.5498296142034145e-07,79,312.3132200241089,5.568657657258449e-15,5.762763385097478e-13,5.818449961670062e-13
347.15367603302,1714551116.953634,1693,1.5598538010041298e-07,80,343.21728444099426,5.560676554814361e-15,5.72961202117728e-13,5.785218786725423e-13
381.2208340167999,1714551151.020792,1863,1.5594498172888418e-07,81,377.28441762924194,5.560857170350926e-15,5.702552075362716e-13,5.758160647066225e-13
418.20541405677795,1714551188.005372,2049,1.56219813849374e-07,82,414.26898980140686,5.5677564126354685e-15,5.679607278765976e-13,5.73528484289233e-13
459.17016983032227,1714551228.9701278,2254,1.564182331273346e-07,83,455.23339796066284,5.577474964861595e-15,5.658195763472594e-13,5.71397051312121e-13
503.72035574913025,1714551273.5203137,2479,1.567397885021463e-07,84,499.78347659111023,5.5883308124087786e-15,5.638174129807616e-13,5.694057437931704e-13
553.2619154453278,1714551323.0618734,2727,1.5705211463047723e-07,85,549.3254930973053,5.599631253751864e-15,5.618275860327249e-13,5.674272172864768e-13
607.5277700424194,1714551377.327728,3000,1.5712784253092492e-07,86,603.5914492607117,5.610068957078654e-15,5.599512857986977e-13,5.655613547557763e-13
667.2782649993896,1714551437.078223,3299,1.5727715776642649e-07,87,663.3418874740601,5.6165229684397635e-15,5.582321809879427e-13,5.638487039563824e-13
733.056248664856,1714551502.8562067,3629,1.5749469467292612e-07,88,729.1182961463928,5.622446314538104e-15,5.566361535295826e-13,5.622585998441208e-13
805.6433470249176,1714551575.443305,3992,1.5792906556921044e-07,89,801.7068979740143,5.625885169104793e-15,5.550751943381505e-13,5.607010795072553e-13
885.2831370830536,1714551655.083095,4391,1.580513128244776e-07,90,881.3466889858246,5.627758715289509e-15,5.534878264473998e-13,5.591155851626893e-13
973.2900433540344,1714551743.0900013,4831,1.5809928013137023e-07,91,969.3535323143005,5.6325061834403885e-15,5.517762203812246e-13,5.574087265646651e-13
1070.0487129688263,1714551839.848671,5314,1.5794239064020525e-07,92,1066.1122863292694,5.644140877119142e-15,5.499091569912025e-13,5.555532978683217e-13
1176.0536091327667,1714551945.8535671,5845,1.5841647222492759e-07,93,1172.1172618865967,5.6585565282002336e-15,5.477883372261347e-13,5.53446893754335e-13
1292.89461684227,1714552062.6945748,6429,1.5692612272790417e-07,94,1288.9582633972168,5.675746483189036e-15,5.453867998095211e-13,5.510625462927101e-13
1421.632428407669,1714552191.4323864,7072,1.5829518031311957e-07,95,1417.6959402561188,5.685769521665438e-15,5.427055666354646e-13,5.4839133615713e-13
1563.2514941692352,1714552333.0514522,7779,1.5773890777091067e-07,96,1559.3151080608368,5.700176908818365e-15,5.399459300533545e-13,5.456461069621729e-13
1718.792367219925,1714552488.5923252,8557,1.5795443280102433e-07,97,1714.8558456897736,5.737560308248519e-15,5.376918974854884e-13,5.434294577937369e-13
1888.2103581428528,1714552658.0103161,9413,1.5879581715579918e-07,98,1884.2731273174286,5.79078020727313e-15,5.361898585757818e-13,5.41980638783055e-13
2074.7373230457306,1714552844.537281,10354,1.5913667846194607e-07,99,2070.8009197711945,5.834852857561632e-15,5.352126652172768e-13,5.410475180748384e-13
2280.603893518448,1714553050.4038515,11389,1.592518086665772e-07,100,2276.6674609184265,5.868329042061506e-15,5.344896286949051e-13,5.403579577369666e-13
2506.406235218048,1714553276.2061932,12528,1.593012691487892e-07,101,2502.469697713852,5.902095960972832e-15,5.338434308980949e-13,5.397455268590677e-13
2755.33798623085,1714553525.1379442,13781,1.5943836658368093e-07,102,2751.4015889167786,5.917791258146343e-15,5.332497935572552e-13,5.391675848154015e-13
3003.988005399704,1714553773.7879634,15036,1.5965048691362476e-07,103,3000.0517342090607,5.922235760613172e-15,5.327173111703501e-13,5.386395469309633e-13
